Country,State,Year,Types Of Coal,Coal Consuming Sectors,Coal Consumed (UOM:t(Tonnes))
India,West Bengal,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.773
India,Meghalaya,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.011
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,STEEL (BOILERS),0.052
India,Karnataka,"Financial Year (Apr - Mar), 2016",RAW COAL,TEXTILES & RAYONS,0.109
India,Odisha,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.534
India,Odisha,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.371
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,3.666
India,Maharashtra,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,4.357
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.079
India,Telangana,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,1.78138344
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.02
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,1.521
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),61.865
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),18.2
India,Punjab,"Financial Year (Apr - Mar), 2012",RAW COAL,FERTILISERS,1.07
India,West Bengal,"Financial Year (Apr - Mar), 2016",RAW COAL,SPONGE IRON,0.63
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.284
India,West Bengal,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),39.942
India,Maharashtra,"Financial Year (Apr - Mar), 2017",RAW COAL,SPONGE IRON,0.295
India,Karnataka,"Financial Year (Apr - Mar), 2011",WASHED COAL,CEMENT,0.045
India,Rajasthan,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.694
India,Ladakh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.00018987
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (UTILITY),0.25
India,Karnataka,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.023
India,Jharkhand,"Financial Year (Apr - Mar), 2015",RAW COAL,SPONGE IRON,1.295
India,Odisha,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.148
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,2.994
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,FERTILISERS,0.061
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.004
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (CAPTIVE),1.366
India,Maharashtra,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),0.895
India,Maharashtra,"Financial Year (Apr - Mar), 2015",WASHED COAL,OTHER,0.064
India,West Bengal,"Financial Year (Apr - Mar), 2012",MIDDLINGS,STEEL (BOILERS),0.176
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,COLLIERY OWN - CONSUMPTION,0.007
India,Uttarakhand,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),0.302
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.249
India,Kerala,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.031
India,Uttarakhand,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.112
India,Telangana,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,2.131
India,Odisha,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,13.84
India,Kerala,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.027
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",LIGNITE,PULP & PAPER,0.139
India,Telangana,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,1.633263974
India,Punjab,"Financial Year (Apr - Mar), 2011",RAW COAL,FERTILISERS,1.111
India,Karnataka,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),3.351
India,West Bengal,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0.006
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,BRICKS,0.024
India,Odisha,"Financial Year (Apr - Mar), 2016",RAW COAL,SPONGE IRON,2.559
India,Maharashtra,"Financial Year (Apr - Mar), 2012",RAW COAL,TEXTILES & RAYONS,0.059
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.012
India,Maharashtra,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),0.611
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.94
India,Maharashtra,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),48.209
India,Maharashtra,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (CAPTIVE),1.213
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",RAW COAL,CEMENT,0.189
India,Meghalaya,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,5.64
India,Rajasthan,"Financial Year (Apr - Mar), 2014",LIGNITE,CHEMICAL,0.002
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,CHEMICAL,0.021
India,West Bengal,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,4.261
India,Rajasthan,"Financial Year (Apr - Mar), 2017",LIGNITE,BRICKS,0
India,West Bengal,"Financial Year (Apr - Mar), 2019",MIDDLINGS,STEEL (BOILERS),0.17
India,Kerala,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.043
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.006
India,Karnataka,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,0.042
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (CAPTIVE),2.658
India,Maharashtra,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.283
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,0.174
India,Jharkhand,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),1.271
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",MIDDLINGS,POWER (UTILITY),0.355
India,West Bengal,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),36.508
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.635
India,Maharashtra,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),0.867
India,Rajasthan,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (UTILITY),1.208
India,Rajasthan,"Financial Year (Apr - Mar), 2018",RAW COAL,TEXTILES & RAYONS,0.008
India,Odisha,"Financial Year (Apr - Mar), 2012",WASHED COAL,METALLURGICAL USE- COKERIES,0.131
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,TEXTILES & RAYONS,0.011
India,West Bengal,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,2.574
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.149
India,Punjab,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),5.159
India,Karnataka,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),7.667
India,West Bengal,"Financial Year (Apr - Mar), 2017",WASHED COAL,METALLURGICAL USE- COKERIES,0.741
India,Telangana,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),1.677
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (UTILITY),8.799
India,Odisha,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (CAPTIVE),0.079
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.436
India,Odisha,"Financial Year (Apr - Mar), 2012",MIDDLINGS,POWER (CAPTIVE),0.095
India,Odisha,"Financial Year (Apr - Mar), 2018",MIDDLINGS,POWER (CAPTIVE),0.073
India,Ladakh,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (CAPTIVE),1.003
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (CAPTIVE),4.189
India,West Bengal,"Financial Year (Apr - Mar), 2020",WASHED COAL,COKERIES,0.547
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,11.143
India,Jharkhand,"Financial Year (Apr - Mar), 2014",RAW COAL,CEMENT,0.009
India,Rajasthan,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.038
India,West Bengal,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.003
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",LIGNITE,CEMENT,1.212
India,West Bengal,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (UTILITY),1.966
India,Telangana,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,2.551
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),0.004
India,Jharkhand,"Financial Year (Apr - Mar), 2012",WASHED COAL,METALLURGICAL USE- COKERIES,2.556
India,Maharashtra,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,3.011
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",LIGNITE,CEMENT,0.002
India,Maharashtra,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (CAPTIVE),0.061
India,Jharkhand,"Financial Year (Apr - Mar), 2014",MIDDLINGS,POWER (CAPTIVE),1.222
India,Ladakh,"Financial Year (Apr - Mar), 2016",RAW COAL,CEMENT,0
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.002
India,Odisha,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.012
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.108
India,Ladakh,"Financial Year (Apr - Mar), 2012",RAW COAL,OTHER,0
India,Jharkhand,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),24.157
India,Telangana,"Financial Year (Apr - Mar), 2011",WASHED COAL,OTHER,0.040288495
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,6.096
India,West Bengal,"Financial Year (Apr - Mar), 2015",RAW COAL,SPONGE IRON,1.35
India,Jharkhand,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.108
India,Jharkhand,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,8.432
India,Karnataka,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,0.133
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,0.124
India,Rajasthan,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (CAPTIVE),7.052
India,Rajasthan,"Financial Year (Apr - Mar), 2012",LIGNITE,STEEL (BOILERS),0.001
India,Ladakh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,1.90E-05
India,Jharkhand,"Financial Year (Apr - Mar), 2016",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.241
India,Odisha,"Financial Year (Apr - Mar), 2011",MIDDLINGS,METALLURGICAL USE- COKERIES,0.101
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (UTILITY),12.85
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,SPONGE IRON,0.107
India,West Bengal,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.038
India,Jharkhand,"Financial Year (Apr - Mar), 2017",RAW COAL,SPONGE IRON,0.42
India,Uttarakhand,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.344
India,Rajasthan,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),1.956
India,Telangana,"Financial Year (Apr - Mar), 2012",WASHED COAL,METALLURGICAL USE- COKERIES,0.186038049
India,Odisha,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),27.974
India,Jharkhand,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (UTILITY),1.658
India,Rajasthan,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.148
India,West Bengal,"Financial Year (Apr - Mar), 2018",RAW COAL,POWER (CAPTIVE),0.189
India,West Bengal,"Financial Year (Apr - Mar), 2013",RAW COAL,SPONGE IRON,1.318
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (CAPTIVE),4.499
India,West Bengal,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0.018
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.259
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.001
India,Rajasthan,"Financial Year (Apr - Mar), 2018",RAW COAL,FERTILISERS,0.271
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.012
India,Jharkhand,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),28.113
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012",LIGNITE,CEMENT,0.586
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,METALLURGICAL USE- COKERIES,0.226
India,Punjab,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (UTILITY),0.058
India,Telangana,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,2.55
India,Rajasthan,"Financial Year (Apr - Mar), 2018",LIGNITE,CHEMICAL,0.001
India,Rajasthan,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),0.043
India,Maharashtra,"Financial Year (Apr - Mar), 2016",RAW COAL,CHEMICAL,0.021
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,TEXTILES & RAYONS,0.031
India,West Bengal,"Financial Year (Apr - Mar), 2017",RAW COAL,TEXTILES & RAYONS,0.004
India,Punjab,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),12.545
India,Odisha,"Financial Year (Apr - Mar), 2017",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.108
India,Kerala,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.027
India,Rajasthan,"Financial Year (Apr - Mar), 2014",LIGNITE,POWER (UTILITY),5.253
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.021
India,Maharashtra,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.032
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.244
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,METALLURGICAL USE- COKERIES,0.069
India,Odisha,"Financial Year (Apr - Mar), 2015",WASHED COAL,METALLURGICAL USE- COKERIES,0.085
India,Telangana,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),27.993
India,Telangana,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),1.062
India,Tamil Nadu,"Financial Year (Apr - Mar), 2013",LIGNITE,POWER (UTILITY),24.836
India,Odisha,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),16.065
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,CHEMICAL,0.008
India,Rajasthan,"Financial Year (Apr - Mar), 2017",WASHED COAL,POWER (CAPTIVE),7.342
India,Odisha,"Financial Year (Apr - Mar), 2015",RAW COAL,CHEMICAL,0.006
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),18.332
India,Uttarakhand,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.103
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.62
India,Odisha,"Financial Year (Apr - Mar), 2011",RAW COAL,POWER (UTILITY),21.162
India,Jharkhand,"Financial Year (Apr - Mar), 2016",MIDDLINGS,POWER (UTILITY),2.494
India,Rajasthan,"Financial Year (Apr - Mar), 2013",LIGNITE,CHEMICAL,0.013
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.087
India,Maharashtra,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),0.692
India,Rajasthan,"Financial Year (Apr - Mar), 2017",LIGNITE,CEMENT,0.099
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2011",RAW COAL,PULP & PAPER,0.227
India,Jharkhand,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (CAPTIVE),0.505
India,Odisha,"Financial Year (Apr - Mar), 2013",WASHED COAL,POWER (UTILITY),0.372
India,Jharkhand,"Financial Year (Apr - Mar), 2013",RAW COAL,CHEMICAL,0.005
India,Karnataka,"Financial Year (Apr - Mar), 2016",RAW COAL,PULP & PAPER,0.12
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2018",RAW COAL,CEMENT,0.001
India,Karnataka,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,0.114
India,Punjab,"Financial Year (Apr - Mar), 2011",RAW COAL,OTHER,0.24
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",WASHED COAL,CEMENT,0.088
India,Punjab,"Financial Year (Apr - Mar), 2015",RAW COAL,FERTILISERS,0.603
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",RAW COAL,METALLURGICAL USE- COKERIES,0.133
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",LIGNITE,STEEL (BOILERS),0.035
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",LIGNITE,STEEL (BOILERS),0.002
India,Rajasthan,"Financial Year (Apr - Mar), 2013",MIDDLINGS,POWER (CAPTIVE),0.084
India,Rajasthan,"Financial Year (Apr - Mar), 2012",LIGNITE,CEMENT,0.088
India,Odisha,"Financial Year (Apr - Mar), 2013",RAW COAL,METALLURGICAL USE- COKERIES,0.313
India,Karnataka,"Financial Year (Apr - Mar), 2018",RAW COAL,TEXTILES & RAYONS,0.1
India,Odisha,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (CAPTIVE),12.587
India,Odisha,"Financial Year (Apr - Mar), 2014",RAW COAL,POWER (UTILITY),25.671
India,West Bengal,"Financial Year (Apr - Mar), 2014",WASHED COAL,METALLURGICAL USE- COKERIES,0.751
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.431
India,Odisha,"Financial Year (Apr - Mar), 2020",WASHED COAL,COKERIES,0.517
India,Rajasthan,"Financial Year (Apr - Mar), 2012",LIGNITE,BRICKS,0.053
India,West Bengal,"Financial Year (Apr - Mar), 2015",RAW COAL,PULP & PAPER,0.057
India,Meghalaya,"Financial Year (Apr - Mar), 2016",RAW COAL,OTHER,3.712
India,Uttarakhand,"Financial Year (Apr - Mar), 2014",RAW COAL,OTHER,0.146
India,Rajasthan,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.471
India,Punjab,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),12.457
India,Haryana,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),17.147
India,Rajasthan,"Financial Year (Apr - Mar), 2012",WASHED COAL,POWER (UTILITY),1.601
India,Odisha,"Financial Year (Apr - Mar), 2011",RAW COAL,FERTILISERS,0.03
India,Telangana,"Financial Year (Apr - Mar), 2018",RAW COAL,PULP & PAPER,0.657
India,West Bengal,"Financial Year (Apr - Mar), 2013",RAW COAL,PULP & PAPER,0.085
India,Odisha,"Financial Year (Apr - Mar), 2018",RAW COAL,SPONGE IRON,2.959
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.087
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.714
India,Odisha,"Financial Year (Apr - Mar), 2015",RAW COAL,SPONGE IRON,2.75
India,West Bengal,"Financial Year (Apr - Mar), 2014",RAW COAL,TEXTILES & RAYONS,0.003
India,West Bengal,"Financial Year (Apr - Mar), 2014",RAW COAL,STEEL (BOILERS),0.347
India,Jharkhand,"Financial Year (Apr - Mar), 2018",MIDDLINGS,OTHER,0.001
India,Jharkhand,"Financial Year (Apr - Mar), 2016",MIDDLINGS,STEEL (BOILERS),0.136
India,Karnataka,"Financial Year (Apr - Mar), 2014",RAW COAL,TEXTILES & RAYONS,0.203
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,3.964
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",LIGNITE,BRICKS,0.008
India,Telangana,"Financial Year (Apr - Mar), 2014",RAW COAL,SPONGE IRON,0.172608551
India,Rajasthan,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),13.383
India,Jharkhand,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,7.162
India,Punjab,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.608
India,Maharashtra,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.135
India,West Bengal,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (UTILITY),0.004
India,Tamil Nadu,"Financial Year (Apr - Mar), 2011",RAW COAL,SPONGE IRON,0.115
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WASHED COAL,POWER (CAPTIVE),0.102
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",RAW COAL,POWER (UTILITY),19.765
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2014",WASHED COAL,POWER (UTILITY),8.167
India,Jharkhand,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,0.036
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",LIGNITE,CEMENT,0.995
India,Odisha,"Financial Year (Apr - Mar), 2016",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.1
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,PULP & PAPER,0.108
India,Jharkhand,"Financial Year (Apr - Mar), 2017",RAW COAL,COLLIERY OWN - CONSUMPTION,0.049
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (UTILITY),37.128
India,West Bengal,"Financial Year (Apr - Mar), 2013",RAW COAL,METALLURGICAL USE- COKERIES,0.328
India,Odisha,"Financial Year (Apr - Mar), 2014",RAW COAL,PULP & PAPER,0.095
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,0.023
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,METALLURGICAL USE- COKERIES,0.131
India,Meghalaya,"Financial Year (Apr - Mar), 2018",RAW COAL,OTHER,1.588
India,Tamil Nadu,"Financial Year (Apr - Mar), 2012",LIGNITE,PULP & PAPER,0.052
India,Odisha,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.089
India,West Bengal,"Financial Year (Apr - Mar), 2012",RAW COAL,PULP & PAPER,0.04
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",LIGNITE,STEEL (BOILERS),0.023
India,Karnataka,"Financial Year (Apr - Mar), 2011",RAW COAL,CEMENT,1.924
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.317
India,Ladakh,"Financial Year (Apr - Mar), 2012",RAW COAL,CEMENT,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,SPONGE IRON,0.522
India,Odisha,"Financial Year (Apr - Mar), 2019",MIDDLINGS,OTHER,0.081
India,Rajasthan,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),2.874
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,3.725
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.064
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2012",RAW COAL,POWER (UTILITY),30.543
India,Telangana,"Financial Year (Apr - Mar), 2011",RAW COAL,CHEMICAL,0.109410912
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2015",RAW COAL,CEMENT,0.131
India,Rajasthan,"Financial Year (Apr - Mar), 2015",LIGNITE,OTHER,0.66
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",LIGNITE,CEMENT,0.035
India,Karnataka,"Financial Year (Apr - Mar), 2017",RAW COAL,OTHER,0.034
India,Maharashtra,"Financial Year (Apr - Mar), 2017",RAW COAL,CEMENT,1.181
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2012",MIDDLINGS,POWER (UTILITY),0.113
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),12.256
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.143
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (UTILITY),21.582
India,West Bengal,"Financial Year (Apr - Mar), 2015",MIDDLINGS,POWER (UTILITY),0.305
India,West Bengal,"Financial Year (Apr - Mar), 2016",RAW COAL,STEEL (BOILERS),0.249
India,Jharkhand,"Financial Year (Apr - Mar), 2013",RAW COAL,POWER (CAPTIVE),1.737
India,Odisha,"Financial Year (Apr - Mar), 2015",RAW COAL,OTHER,14.991
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),3.523
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.221
India,Jharkhand,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.003
India,Tamil Nadu,"Financial Year (Apr - Mar), 2014",LIGNITE,STEEL (BOILERS),0.026
India,Tamil Nadu,"Financial Year (Apr - Mar), 2018",LIGNITE,POWER (UTILITY),21.861
India,Odisha,"Financial Year (Apr - Mar), 2014",WASHED COAL,METALLURGICAL USE- COKERIES,0.493
India,West Bengal,"Financial Year (Apr - Mar), 2018",MIDDLINGS,POWER (UTILITY),0.108
India,Telangana,"Financial Year (Apr - Mar), 2013",RAW COAL,OTHER,1.112673426
India,Rajasthan,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.28
India,Karnataka,"Financial Year (Apr - Mar), 2017",RAW COAL,CHEMICAL,0.008
India,Rajasthan,"Financial Year (Apr - Mar), 2015",WASHED COAL,POWER (CAPTIVE),2.983
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2013",RAW COAL,TEXTILES & RAYONS,0.028
India,Karnataka,"Financial Year (Apr - Mar), 2017",RAW COAL,PULP & PAPER,0.07
India,Jharkhand,"Financial Year (Apr - Mar), 2014",RAW COAL,BRICKS,0.004
India,Telangana,"Financial Year (Apr - Mar), 2014",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.002764897
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",RAW COAL,POWER (UTILITY),16.659
India,Kerala,"Financial Year (Apr - Mar), 2017",RAW COAL,POWER (CAPTIVE),0.018
